Emotional_Word,LAB_1,LAB_2,LAB_3
Cute,[76.42708741 29.78524415 17.91936229],[ 94.40736887 -10.52822276  57.84533487],[38.72085487 60.14318711 20.85893435]
Childlike,[62.45440758 55.64879485 36.84863968],[ 94.40736887 -10.52822276  57.84533487],[ 82.18211829 -20.72742506  -4.4461966 ]
Pretty,[76.42708741 29.78524415 17.91936229],[ 93.93761507 -14.1167006   81.3486706 ],[ 66.8355462  -40.85994144  14.6197465 ]
Sweet,[62.45440758 55.64879485 36.84863968],[82.17956197 16.12866383 32.15724044],[78.83061105 30.73421414  1.76403645]
Amusing,[75.23602389 24.36558604 58.94466287],[ 74.45661864 -42.50826053  70.84423229],[ 65.96773672 -36.83555972  15.11153384]
Bright,[47.870382   73.93899291 58.2702805 ],[59.888353   51.25373159 68.70983047],[38.72085487 60.14318711 20.85893435]
Casual,[64.08943866 40.52141144 30.08066912],[66.85854198 43.31685057 73.90118899],[ 93.93761507 -14.1167006   81.3486706 ]
Cheerful,[62.45440758 55.64879485 36.84863968],[82.17956197 16.12866383 32.15724044],[ 93.93761507 -14.1167006   81.3486706 ]
Colorful,[62.45440758 55.64879485 36.84863968],[ 66.8355462  -40.85994144  14.6197465 ],[ 62.5828238   25.37572404 -23.31427703]
Dazzling,[66.85854198 43.31685057 73.90118899],[ 66.8355462  -40.85994144  14.6197465 ],[ 28.26868619  46.22120138 -47.3257358 ]
Enjoyable,[66.85854198 43.31685057 73.90118899],[ 93.93761507 -14.1167006   81.3486706 ],[ 74.45661864 -42.50826053  70.84423229]
Festive,[47.870382   73.93899291 58.2702805 ],[ 74.45661864 -42.50826053  70.84423229],[ 1.00000000e+02 -2.45493786e-03  4.65342115e-03]
Flamboyant,[66.85854198 43.31685057 73.90118899],[ 93.78297018 -15.31768305  92.03433029],[ 74.45661864 -42.50826053  70.84423229]
Friendly,[75.23602389 24.36558604 58.94466287],[ 93.93761507 -14.1167006   81.3486706 ],[38.72085487 60.14318711 20.85893435]
Merry,[62.45440758 55.64879485 36.84863968],[75.23602389 24.36558604 58.94466287],[ 94.40736887 -10.52822276  57.84533487]
Showy,[ 93.78297018 -15.31768305  92.03433029],[ 53.59400067 -47.84740234  25.43406598],[ 59.86662035 -43.65085536  13.55946201]
Tropical,[66.85854198 43.31685057 73.90118899],[ 59.86662035 -43.65085536  13.55946201],[44.65589311 70.82079218 32.19973474]
Vivid,[ 93.78297018 -15.31768305  92.03433029],[ 53.59400067 -47.84740234  25.43406598],[ 44.3964605  -18.50173489 -20.25809013]
Bold,[47.870382   73.93899291 58.2702805 ],[ 93.78297018 -15.31768305  92.03433029],[ 44.3964605  -18.50173489 -20.25809013]
Dynamic,[47.870382   73.93899291 58.2702805 ],[ 93.78297018 -15.31768305  92.03433029],[ 53.59400067 -47.84740234  25.43406598]
Dynamic and active,[47.870382   73.93899291 58.2702805 ],[59.888353   51.25373159 68.70983047],[ 53.59400067 -47.84740234  25.43406598]
Intense,[ 93.78297018 -15.31768305  92.03433029],[ 30.87675582  20.19077766 -51.92147266],[0. 0. 0.]
Lively,[47.870382   73.93899291 58.2702805 ],[66.85854198 43.31685057 73.90118899],[ 93.78297018 -15.31768305  92.03433029]
Provocative,[ 53.59400067 -47.84740234  25.43406598],[ 59.86662035 -43.65085536  13.55946201],[ 44.3964605  -18.50173489 -20.25809013]
Striking,[ 74.45661864 -42.50826053  70.84423229],[ 73.10864834 -30.36854144  -2.45741637],[ 30.87675582  20.19077766 -51.92147266]
Vigorous,[47.870382   73.93899291 58.2702805 ],[ 53.59400067 -47.84740234  25.43406598],[ 52.85168263 -43.30465007  13.27926095]
Abundant,[48.56375808 71.237139   45.91004705],[66.85854198 43.31685057 73.90118899],[ 39.83051961 -27.83461195  14.06272482]
Alluring,[48.56375808 71.237139   45.91004705],[ 32.21598127  39.46972704 -37.16881207],[43.45491824 59.68453024 -0.08440348]
Brilliant,[62.45440758 55.64879485 36.84863968],[ 28.26868619  46.22120138 -47.3257358 ],[43.45491824 59.68453024 -0.08440348]
Decorative,[69.09651417 -5.91776263 70.38165268],[ 31.50568391 -32.88833524  15.87915303],[ 36.31190718 -22.70891692   2.3723325 ]
Extravagant,[27.90042721 50.84611721 38.1880292 ],[69.09651417 -5.91776263 70.38165268],[  8.70711337  27.00764484 -33.01473349]
Fascinating,[48.56375808 71.237139   45.91004705],[ 28.26868619  46.22120138 -47.3257358 ],[65.84063982 53.96484149  2.84229914]
Glossy,[48.56375808 71.237139   45.91004705],[ 28.26868619  46.22120138 -47.3257358 ],[43.45491824 59.68453024 -0.08440348]
Gorgeous,[75.23602389 24.36558604 58.94466287],[ 74.45661864 -42.50826053  70.84423229],[ 65.96773672 -36.83555972  15.11153384]
Luxurious,[48.56375808 71.237139   45.91004705],[59.888353   51.25373159 68.70983047],[69.09651417 -5.91776263 70.38165268]
Mature,[48.56375808 71.237139   45.91004705],[69.09651417 -5.91776263 70.38165268],[ 47.6825648  -22.73542323  41.22979746]
Mellow,[48.56375808 71.237139   45.91004705],[48.2843494   0.94697791 51.99932612],[  8.70711337  27.00764484 -33.01473349]
Rich,[48.56375808 71.237139   45.91004705],[59.888353   51.25373159 68.70983047],[69.09651417 -5.91776263 70.38165268]
Substantial,[22.60990325 41.22819548 33.51871271],[26.84347381 29.71518396 36.78307966],[69.09651417 -5.91776263 70.38165268]
Conservative,[26.84347381 29.71518396 36.78307966],[44.24349897  7.56026643 26.29637262],[ 28.14768808 -18.47232265  28.89769599]
Elaborate,[27.90042721 50.84611721 38.1880292 ],[48.2843494   0.94697791 51.99932612],[ 43.544525   -29.1720476   41.48748568]
Heavy and deep,[22.60990325 41.22819548 33.51871271],[26.84347381 29.71518396 36.78307966],[14.41886213  7.32946516 18.9378619 ]
Old-fashioned,[22.60990325 41.22819548 33.51871271],[41.10279708 26.1063877  40.44512316],[48.2843494   0.94697791 51.99932612]
Provincial,[49.71366796 10.8264862  15.21404084],[62.06669381 -6.23071026 52.35339188],[47.49968226 -9.03754552 23.82877573]
Rustic,[41.10279708 26.1063877  40.44512316],[43.62076963  2.13008434 47.73561762],[ 47.6825648  -22.73542323  41.22979746]
Sturdy,[36.96845843 36.46186891 46.70170269],[26.37361678 11.10409415 32.89547673],[ 5.85813996 -6.14009786 -2.92976486]
Tasteful,[37.62648776 36.95974326 23.29799735],[26.37361678 11.10409415 32.89547673],[ 28.14768808 -18.47232265  28.89769599]
Traditional,[22.60990325 41.22819548 33.51871271],[41.10279708 26.1063877  40.44512316],[26.37361678 11.10409415 32.89547673]
Bitter,[43.62076963  2.13008434 47.73561762],[  6.15676348 -10.40215869   4.92409124],[ 2.12467313e+01 -7.88262163e-04  1.49417868e-03]
Diligent,[37.62648776 36.95974326 23.29799735],[41.10279708 26.1063877  40.44512316],[ 47.6825648  -22.73542323  41.22979746]
Eminent,[ 75.25852854 -16.28403232   2.06696544],[ 23.59459853  55.81395606 -80.20527099],[ 32.21598127  39.46972704 -37.16881207]
Placid,[48.56375808 71.237139   45.91004705],[49.71366796 10.8264862  15.21404084],[26.37361678 11.10409415 32.89547673]
Practical,[36.96845843 36.46186891 46.70170269],[47.49968226 -9.03754552 23.82877573],[ 31.50568391 -32.88833524  15.87915303]
Quiet and sophisticated,[48.56375808 71.237139   45.91004705],[11.27554582 14.536714   15.93996623],[48.2843494   0.94697791 51.99932612]
Serious,[48.56375808 71.237139   45.91004705],[14.41886213  7.32946516 18.9378619 ],[13.27290522 -6.20815927 15.33063077]
Sound,[11.27554582 14.536714   15.93996623],[44.24349897  7.56026643 26.29637262],[ 31.50568391 -32.88833524  15.87915303]
Strong and robust,[48.56375808 71.237139   45.91004705],[11.27554582 14.536714   15.93996623],[14.41886213  7.32946516 18.9378619 ]
Subtle and mysterious,[49.71366796 10.8264862  15.21404084],[44.24349897  7.56026643 26.29637262],[ 28.14768808 -18.47232265  28.89769599]
Authoritative,[47.36824217 -7.09220921 -1.13130581],[ 17.50106761  49.28944101 -69.69860585],[ 2.12467313e+01 -7.88262163e-04  1.49417868e-03]
Dignified,[48.56375808 71.237139   45.91004705],[ 20.33629454 -23.85574707  18.03298193],[47.36824217 -7.09220921 -1.13130581]
Carnets,[ 13.64440861   1.28436206 -21.61641928],[ 17.76705195  29.19001789 -51.60070363],[ 5.31927775e+01 -1.46434456e-03  2.77571668e-03]
Majestic,[ 16.64464184 -15.22560484  -2.97972042],[51.68925355  0.91600036 -4.60442656],[  8.70711337  27.00764484 -33.01473349]
Soleman,[13.27290522 -6.20815927 15.33063077],[47.36824217 -7.09220921 -1.13130581],[ 17.50106761  49.28944101 -69.69860585]
Sublime,[47.36824217 -7.09220921 -1.13130581],[ 17.76705195  29.19001789 -51.60070363],[ 32.55472344  24.66680182 -21.05017443]
Clean,[ 81.08558395 -27.13354583  11.51001235],[ 82.18211829 -20.72742506  -4.4461966 ],[80.30572244 -7.9617198  -3.82810831]
Clean and fresh,[ 74.45661864 -42.50826053  70.84423229],[ 57.20203825 -46.13871736  29.66369999],[ 66.8355462  -40.85994144  14.6197465 ]
Clear,[97.26561319 -8.24138131 32.34903896],[ 82.18211829 -20.72742506  -4.4461966 ],[ 66.76063533  -2.92703075 -24.50336132]
Pure,[ 81.08558395 -27.13354583  11.51001235],[ 91.07701022 -11.1736516   -1.57068462],[ 38.39917307   9.23504818 -38.53862045]
Refreshing,[ 77.9645252  -35.68821166  34.3512417 ],[ 66.8355462  -40.85994144  14.6197465 ],[ 73.10864834 -30.36854144  -2.45741637]
Agile,[ 52.85168263 -43.30465007  13.27926095],[ 73.10864834 -30.36854144  -2.45741637],[ 30.87675582  20.19077766 -51.92147266]
Smart,[ 49.76033539 -12.64467621  10.60733869],[ 59.86662035 -43.65085536  13.55946201],[ 51.68177736 -23.17898077 -13.21468447]
Steady,[38.72085487 60.14318711 20.85893435],[ 53.59400067 -47.84740234  25.43406598],[ 87.8909739  -18.40061826  10.44232277]
Youthful,[ 93.93761507 -14.1167006   81.3486706 ],[38.72085487 60.14318711 20.85893435],[ 57.20203825 -46.13871736  29.66369999]
Modern,[ 52.85168263 -43.30465007  13.27926095],[ 51.68177736 -23.17898077 -13.21468447],[ 30.13876842   3.73459516 -23.89219951]
Rational,[ 40.2445177  -18.61728663 -11.49518014],[ 17.76705195  29.19001789 -51.60070363],[  5.25846225  15.74966229 -18.25178797]
Sharp,[ 52.85168263 -43.30465007  13.27926095],[ 44.3964605  -18.50173489 -20.25809013],[ 30.87675582  20.19077766 -51.92147266]
Precise,[ 63.04071075 -24.55503261  -4.07804825],[72.60985598 -4.78024268 -2.79093118],[ 3.48781522e+01 -1.07674743e-03  2.04101267e-03]
