dataset-paintings\all paintings-photos\1.jpg,"(137, 151, 138)"
dataset-paintings\all paintings-photos\2.jpg,"(152, 145, 125)"
dataset-paintings\all paintings-photos\3.jpg,"(142, 158, 126)"
dataset-paintings\all paintings-photos\4.jpg,"(146, 137, 135)"
dataset-paintings\all paintings-photos\5.jpg,"(167, 147, 143)"
dataset-paintings\all paintings-photos\6.jpg,"(189, 153, 135)"
dataset-paintings\all paintings-photos\7.jpg,"(178, 163, 150)"
dataset-paintings\all paintings-photos\8.jpg,"(189, 154, 132)"
dataset-paintings\all paintings-photos\9.jpg,"(138, 146, 139)"
dataset-paintings\all paintings-photos\10.jpg,"(123, 119, 105)"
dataset-paintings\all paintings-photos\11.jpg,"(145, 135, 127)"
dataset-paintings\all paintings-photos\12.jpg,"(179, 155, 128)"
dataset-paintings\all paintings-photos\13.jpg,"(163, 153, 140)"
dataset-paintings\all paintings-photos\14.jpg,"(155, 126, 108)"
dataset-paintings\all paintings-photos\15.jpg,"(153, 136, 112)"
dataset-paintings\all paintings-photos\16.jpg,"(142, 91, 66)"
dataset-paintings\all paintings-photos\17.jpg,"(128, 129, 106)"
dataset-paintings\all paintings-photos\18.jpg,"(144, 134, 89)"
dataset-paintings\all paintings-photos\19.jpg,"(143, 135, 124)"
dataset-paintings\all paintings-photos\20.jpg,"(139, 123, 91)"
dataset-paintings\all paintings-photos\21.jpg,"(139, 132, 97)"
dataset-paintings\all paintings-photos\22.jpg,"(177, 142, 95)"
dataset-paintings\all paintings-photos\23.jpg,"(122, 124, 100)"
dataset-paintings\all paintings-photos\24.jpg,"(145, 139, 83)"
dataset-paintings\all paintings-photos\25.jpg,"(109, 113, 94)"
dataset-paintings\all paintings-photos\26.jpg,"(166, 155, 139)"
dataset-paintings\all paintings-photos\27.jpg,"(95, 94, 83)"
dataset-paintings\all paintings-photos\28.jpg,"(142, 136, 86)"
dataset-paintings\all paintings-photos\29.jpg,"(138, 146, 139)"
dataset-paintings\all paintings-photos\30.jpg,"(132, 132, 115)"
dataset-paintings\all paintings-photos\31.jpg,"(144, 146, 139)"
dataset-paintings\all paintings-photos\32.jpg,"(115, 97, 85)"
dataset-paintings\all paintings-photos\33.jpg,"(88, 88, 70)"
dataset-paintings\all paintings-photos\34.jpg,"(121, 127, 102)"
dataset-paintings\all paintings-photos\35.jpg,"(115, 125, 97)"
dataset-paintings\all paintings-photos\36.jpg,"(166, 141, 89)"
dataset-paintings\all paintings-photos\37.jpg,"(190, 182, 137)"
dataset-paintings\all paintings-photos\38.jpg,"(180, 159, 125)"
dataset-paintings\all paintings-photos\39.jpg,"(152, 141, 116)"
dataset-paintings\all paintings-photos\40.jpg,"(143, 143, 140)"
dataset-paintings\all paintings-photos\41.jpg,"(148, 136, 120)"
dataset-paintings\all paintings-photos\42.jpg,"(141, 126, 76)"
dataset-paintings\all paintings-photos\43.jpg,"(67, 44, 31)"
dataset-paintings\all paintings-photos\44.jpg,"(187, 182, 184)"
dataset-paintings\all paintings-photos\45.jpg,"(144, 134, 113)"
dataset-paintings\all paintings-photos\46.jpg,"(125, 115, 111)"
dataset-paintings\all paintings-photos\47.jpg,"(93, 73, 52)"
dataset-paintings\all paintings-photos\48.jpg,"(127, 113, 68)"
dataset-paintings\all paintings-photos\49.jpg,"(86, 72, 44)"
dataset-paintings\all paintings-photos\50.jpg,"(126, 104, 87)"